Date,Heure publication,Plateforme,Type contenu,Thème,Hook,CTA,Hashtags
17-02-2026,05:30,Instagram,Story,Motivation matin,Ton premier client est plus proche que tu ne le penses,Swipe up pour la checklist,#Ramadan2026 #EntrepreneurAfrique
17-02-2026,12:30,WhatsApp,Statut,Partage foi,La baraka du mois saint s'applique aussi à ton business,Réagis avec un ❤️,#RamadanBusiness
17-02-2026,19:00,TikTok,Vidéo 60s,Behind the scenes,Comment je prépare mes commandes avant le ftour,Lien bio pour commander,#TikTokAfrique #MadeInSenegal
18-02-2026,05:30,Instagram,Reel,Dua entrepreneur,Seigneur bénis mes efforts et mes projets,Tag un entrepreneur,#Dua #BusinessHalal
18-02-2026,14:00,LinkedIn,Article,Réflexion,Pourquoi le Ramadan booste la productivité selon la science,Commente ton expérience,#Productivité #LeadershipAfrique
19-02-2026,05:30,Instagram,Carrousel,Conseil business,5 habitudes à garder après le Ramadan,Sauvegarde ce post,#ConseilsBusiness #Afrique
19-02-2026,19:30,TikTok,Vidéo 45s,Humour,Quand ton client te demande un devis à 17h un jour de jeûne,Partage si ça t'est arrivé,#HumourEntrepreneur
20-02-2026,05:30,Instagram,Story,Urgence,Dernière semaine pour profiter de la promo Ramadan,Lien en bio - 30% de réduction,#PromoRamadan #Sénégal
20-02-2026,12:00,WhatsApp,Statut,Témoignage client,Awa a doublé son CA ce mois-ci grâce à notre template,DM pour le même résultat,#Témoignage #Résultats
21-02-2026,05:30,Instagram,Reel,Spiritualité + business,Le meilleur investissement c'est celui dans ta foi,Abonne-toi pour plus,#Investissement #Foi
21-02-2026,18:00,TikTok,Vidéo 30s,Tendance,POV : Tu attends le coucher du soleil pour commander ton ftour,Lien partenaire,#POV #RamadanVibes
22-02-2026,05:30,Instagram,Carrousel,Éducation,Guide complet : gérer son business pendant le Ramadan,Sauvegarde + partage,#Guide #Entrepreneur
22-02-2026,14:00,LinkedIn,Post,Leadership,Les meilleurs leaders savent écouter surtout pendant le Ramadan,Quel leader t'inspire,#Leadership #Ramadan
23-02-2026,05:30,Instagram,Story,Engagement,Question du jour : quel est ton plus grand défi business ce mois-ci,Réponds en DM,#Question #Engagement
23-02-2026,19:00,TikTok,Vidéo 60s,Recette + business,Mon ftour rapide en 15 min - plus de temps pour mon business,Lien bio pour mon ebook,#RecetteRapide
24-02-2026,05:30,Instagram,Reel,Célébration femme,Journée internationale de la femme + Ramadan = double baraka,Tag une femme entrepreneure,#8Mars #FemmeAfrique
24-02-2026,12:30,WhatsApp,Statut,Offre spéciale,Offre 8 Mars : -40% pour toutes les entrepreneures,Commande par message,#8Mars2026 #Promo
25-02-2026,05:30,Instagram,Carrousel,Récap semaine,Top 3 moments de la semaine dans la communauté ABAWI,Rejoins-nous - lien bio,#Communauté #ABAWI
25-02-2026,19:30,TikTok,Vidéo 45s,Anticipation,La préparation de l'Aïd commence maintenant,Lien bio pour la wishlist,#PréparationAïd
26-02-2026,05:30,Instagram,Story,Urgence,Dernière promo avant l'Aïd - livraison express,Lien en bio,#Urgence #Livraison
26-02-2026,14:00,LinkedIn,Article,Réflexion,Ce que le Ramadan m'a appris sur la résilience entrepreneuriale,Partage ton apprentissage,#Résilience #Entrepreneur
27-02-2026,05:30,Instagram,Reel,Culture,La préparation du thieboudienne de l'Aïd - édition entrepreneur,Sauvegarde la recette,#Thieboudienne #Culture
27-02-2026,18:00,TikTok,Vidéo 30s,BTS,Mon setup de travail post-ftour pour rester productif,Lien bio pour mon guide,#Setup #Productivité
28-02-2026,05:30,Instagram,Carrousel,Éducation,Comment j'ai géré 3 clients en même temps pendant le Ramadan,Sauvegarde ce post,#Productivité #Freelance
28-02-2026,19:00,TikTok,Vidéo 60s,Témoignage,De 0 à 10 clients en 1 mois - voici comment j'ai fait,DM pour la méthode,#Témoignage #Growth
01-03-2026,05:30,Instagram,Story,Motivation,Chaque jour de Ramadan est une opportunité de faire mieux,Réagis avec 🔥,#Motivation #Ramadan
01-03-2026,12:30,WhatsApp,Statut,Offre flash,Flash sale : -50% sur tous les templates business aujourd'hui,Commande par message,#FlashSale #Promo
02-03-2026,05:30,Instagram,Reel,Réflexion,Balance vie pro / vie spirituelle pendant le Ramadan,Commente ta routine,#Balance #Spiritualité
02-03-2026,14:00,LinkedIn,Post,Leadership,Le jeûne m'a appris la patience - un atout pour négocier,Quelle leçon du Ramadan appliques-tu au business,#Patience #Leadership
03-03-2026,05:30,Instagram,Carrousel,Conseil,5 outils gratuits pour automatiser ton business en 2026,Sauvegarde + partage,#OutilsGratuits #Automatisation
03-03-2026,19:30,TikTok,Vidéo 45s,Humour,Quand tu reçois un message client à 3h du matin pendant le Ramadan,Partage si ça t'est arrivé,#Humour #FreelanceLife
04-03-2026,05:30,Instagram,Story,Urgence,2 jours avant l'Aïd - dernière chance pour commander,Lien en bio - livraison express,#Urgence #Aïd2026
04-03-2026,12:00,WhatsApp,Statut,Vœux,Bonne fête de l'Aïd à toute la communauté ABAWI,Réagis avec 🎉,#AïdMubarak #ABAWI
